image,caption
001.jpg, The image depicts the presence of colon polyps
002.jpg, Multiple colon polyps can be observed in this picture
003.jpg, Colon polyps are visible in the image .
004.jpg, The presence of colon polyps is captured in this photograph .
005.jpg, Colon polyps are evident in the picture .
006.jpg, The image reveals the existence of colon polyps .
007.jpg, Colon polyps can be seen in this image .
008.jpg, The presence of colon polyps is depicted in the photograph .
009.jpg, Several colon polyps are present in the picture .
010.jpg, Colon polyps are visible in the image .
011.jpg, Multiple colon polyps can be observed in the photograph .
012.jpg, The image displays the existence of colon polyps .
013.jpg, Colon polyps are evident in this picture .
014.jpg, The presence of colon polyps is captured in the image .
015.jpg, This image shows the existence of colon polyps .
016.jpg, Colon polyps are visible in the photograph .
017.jpg, Multiple colon polyps can be seen in the picture .
018.jpg, The image reveals the presence of colon polyps .
019.jpg, Colon polyps can be observed in this image .
020.jpg, The presence of colon polyps is depicted in the picture .
021.jpg, Several colon polyps are present in the image .
022.jpg, Colon polyps are visible in the photograph .
023.jpg, Multiple colon polyps can be observed in the photograph .
024.jpg, The image displays the existence of colon polyps .
025.jpg, Colon polyps are evident in this picture .
026.jpg, The presence of colon polyps is captured in the image .
027.jpg, This image shows the existence of colon polyps .
028.jpg, Colon polyps are visible in the picture .
029.jpg, Multiple colon polyps can be seen in the image .
030.jpg, The image reveals the presence of colon  .
031.jpg, Colon polyps can be observed in this photograph .
032.jpg, The presence of colon polyps is depicted in the picture .
033.jpg, Several colon polyps are present in the image .
034.jpg, Colon polyps are visible in the photograph .
035.jpg, Multiple colon polyps can be observed in the photograph
036.jpg, The image displays the existence of colon polyps
037.jpg, Colon polyps are evident in this picture
038.jpg, The presence of colon polyps is captured in the image
039.jpg, This image shows the existence of colon polyps .
040.jpg, Colon polyps are visible in the picture .
041.jpg, Multiple colon polyps can be seen in the image .
042.jpg, The image reveals the presence of colon polyps .
043.jpg, Colon polyps can be observed in this photograph .
044.jpg, The presence of colon polyps is depicted in the picture
045.jpg, Several colon polyps are present in the image .
046.jpg, Colon polyps are visible in the photograph .
047.jpg, Multiple colon polyps can be observed in the photograph .
048.jpg, The image displays the existence of colon polyps .
049.jpg, Colon polyps are evident in this picture .
050.jpg, The presence of colon polyps is captured in the image .
051.jpg, This image shows the existence of colon polyps .
052.jpg, Colon polyps are visible in the picture .
053.jpg, Multiple colon polyps can be seen in the image .
054.jpg, The image reveals the presence of colon polyps .
055.jpg, Colon polyps can be observed in this photograph .
056.jpg, The presence of colon polyps is depicted in the picture
057.jpg, Several colon polyps are present in the image
058.jpg, Colon polyps are visible in the photograph
059.jpg, Multiple colon polyps can be observed in the photograph .
060.jpg, The image displays the existence of colon polyps .
061.jpg, Colon polyps are evident in this picture .
062.jpg, The presence of colon polyps is captured in the image .
063.jpg, This image shows the existence of colon polyps
064.jpg, Colon polyps are visible in the picture
065.jpg, Multiple colon polyps can be seen in the image
066.jpg, The image reveals the presence of colon polyps
067.jpg, Colon polyps can be observed in this photograph
068.jpg, The presence of colon polyps is depicted in the picture .
069.jpg, Several colon polyps are present in the image .
070.jpg, Colon polyps are visible in the photograph .
071.jpg, Multiple colon polyps can be observed in the photograph .
072.jpg, The image displays the existence of colon polyps .
073.jpg, Colon polyps are evident in this picture .
074.jpg, The presence of colon polyps is captured in the image .
075.jpg, This imageshows  the existence of colon polyps .
076.jpg, Colon polyps are visible in the picture .
077.jpg, Multiple colon polyps can be seen in the image .
078.jpg, The image reveals the presence of colon polyps
079.jpg, Colon polyps can be observed in this photograph
080.jpg, The presence of colon polyps is depicted in the picture
081.jpg, Several colon polyps are present in the image
082.jpg, Colon polyps are visible in the photograph
083.jpg, Multiple colon polyps can be observed in the photograph .
084.jpg, The image displays the existence of colon polyps .
085.jpg, Colon polyps are evident in this picture .
086.jpg, The presence of colon polyps is captured in the image .
087.jpg, This image shows the existence of colon polyps .
088.jpg, Colon polyps are visible in the picture .
089.jpg, Multiple colon polyps can be seen in the image .
090.jpg, The image reveals the presence of colon polyps .
091.jpg, Colon polyps can be observed in this photograph .
092.jpg, The presence of colon polyps is depicted in the picture .
093.jpg, Several colon polyps are present in the image .
094.jpg, Colon polyps are visible in the photograph .
095.jpg, Multiple colon polyps can be observed in the photograph .
096.jpg, The image displays the existence of colon polyps .
097.jpg, Colon polyps are evident in this picture
098.jpg, The presence of colon polyps is captured in the image .
099.jpg, This image shows the existence of colon polyps .
100.jpg, Colon polyps are visible in the picture
101.jpg, Multiple colon polyps can be seen in the image .
102.jpg, The image reveals the presence of colon polyps .
103.jpg, Colon polyps can be observed in this photograph .
104.jpg, The presence of colon polyps is depicted in the picture .
105.jpg, Several colon polyps are present in the image .
106.jpg, Colon polyps are visible in the photograph .
107.jpg, Multiple colon polyps can be observed in the photograph .
108.jpg, The image displays the existence of colon polyps .
109.jpg, Colon polyps are evident in this picture .
110.jpg, The presence of colon polyps is captured in the image .
111.jpg, This image shows the existence of colon polyps .
112.jpg, Colon polyps are visible in the picture .
113.jpg, Multiple colon polyps can be seen in the image .
114.jpg, The image reveals the presence of colon polyps .
115.jpg, Colon polyps can be observed in this photograph .
116.jpg, The presence of colon polyps is depicted in the picture .
117.jpg, Several colon polyps are present in the image .
118.jpg, Colon polyps are visible in the photograph  .
119.jpg, Multiple colon polyps can be observed in the photograph
120.jpg, The image displays the existence of colon polyps
121.jpg, Colon polyps are evident in this picture
122.jpg, The presence of colon polyps is captured in the image
123.jpg, This image shows the existence of colon polyps .
124.jpg, Colon polyps are visible in the picture .
125.jpg, Multiple colon polyps can be seen in the image .
126.jpg, The image reveals the presence of colon polyps
127.jpg, Colon polyps can be observed in this photograph
128.jpg, The presence of colon polyps is depicted in the picture
129.jpg, Several colon polyps are present in the image
130.jpg, Colon polyps are visible in the photograph .
131.jpg, Multiple colon polyps can be observed in the photograph .
132.jpg, The image displays the existence of colon polyps .
133.jpg, Colon polyps are evident in this picture .
